Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol,Open,High,Low
07/31/20,3.15,3.16,0.00,0.08,3.15,3.15,"551,566.00",64381,3.16,3.18,3.15
07/30/20,3.16,3.16,0.00,0.08,3.16,3.16,"555,042.00",104818,3.16,3.19,3.15
07/29/20,3.16,3.16,-0.05,-1.41,3.16,3.16,"551,611.00",118641,3.20,3.22,3.15
07/28/20,3.20,3.20,-0.05,-1.54,3.20,3.20,"542,505.00",96543,3.23,3.24,3.20
07/27/20,3.26,3.25,-0.01,-0.38,3.25,3.26,"544,625.00",83374,3.25,3.28,3.23
07/24/20,3.27,3.26,-0.02,-0.53,3.27,3.27,"548,701.00",133642,3.28,3.30,3.26
07/23/20,3.28,3.28,0.00,0.15,3.28,3.28,"541,120.00",80743,3.27,3.30,3.25
07/22/20,3.27,3.28,0.05,1.47,3.27,3.28,"541,335.00",111335,3.23,3.28,3.22
07/21/20,3.23,3.23,-0.06,-1.68,3.23,3.23,"552,066.00",121005,3.28,3.28,3.22
07/20/20,3.28,3.28,-0.05,-1.43,3.28,3.28,"554,265.00",96353,3.33,3.34,3.26
07/17/20,3.34,3.33,0.03,0.83,3.33,3.34,"560,648.00",72901,3.30,3.35,3.30
07/16/20,3.31,3.30,0.04,1.23,3.30,3.31,"578,387.00",90784,3.26,3.33,3.26
07/15/20,3.26,3.26,0.00,0.08,3.26,3.26,"569,958.00",88589,3.26,3.29,3.23
07/14/20,3.26,3.26,-0.03,-0.84,3.26,3.26,"568,739.00",102257,3.29,3.32,3.26
07/13/20,3.28,3.29,-0.08,-2.52,3.28,3.28,"574,597.00",153063,3.35,3.35,3.27
07/10/20,3.36,3.37,-0.11,-3.30,3.36,3.37,"580,686.00",162072,3.49,3.52,3.36
07/09/20,3.50,3.49,0.02,0.72,3.50,3.50,"586,770.00",140390,3.46,3.55,3.46
07/08/20,3.46,3.46,0.03,0.80,3.46,3.46,"594,402.00",100264,3.43,3.47,3.39
07/07/20,3.43,3.44,-0.03,-0.87,3.43,3.44,"606,511.00",109201,3.47,3.48,3.40
07/06/20,3.47,3.47,0.03,0.87,3.46,3.47,"620,775.00",108091,3.49,3.50,3.46
07/02/20,3.44,3.44,-0.07,-2.00,3.44,3.44,"638,569.00",124970,3.50,3.54,3.43
07/01/20,3.50,3.51,0.09,2.64,3.50,3.50,"656,875.00",214130,3.41,3.54,3.40
06/30/20,3.41,3.42,0.13,3.88,3.41,3.41,"647,563.00",340843,3.28,3.46,3.26
06/29/20,3.28,3.29,0.12,3.71,3.28,3.28,"640,723.00",230431,3.19,3.29,3.18
06/26/20,3.16,3.17,0.00,-0.08,3.16,3.17,"160,700.00",194086,3.17,3.20,3.14
06/25/20,3.17,3.17,-0.07,-2.16,3.17,3.17,"188,783.00",171012,3.24,3.24,3.15
06/24/20,3.24,3.24,-0.01,-0.23,3.24,3.24,"228,554.00",153441,3.25,3.29,3.24
06/23/20,3.25,3.25,-0.03,-0.99,3.25,3.25,"268,905.00",158872,3.28,3.28,3.21
06/22/20,3.28,3.28,-0.04,-1.28,3.28,3.28,"280,379.00",111277,3.32,3.32,3.28
06/19/20,3.33,3.33,0.02,0.45,3.33,3.33,"294,038.00",153337,3.30,3.34,3.28
06/18/20,3.30,3.31,0.01,0.23,3.30,3.30,"313,479.00",184725,3.30,3.34,3.29
06/17/20,3.30,3.30,0.01,0.38,3.30,3.30,"339,412.00",203074,3.28,3.31,3.25
06/16/20,3.28,3.29,0.00,-0.08,3.28,3.29,"342,544.00",211857,3.32,3.35,3.28
